Fecha;Temp1;Humedad 1;Temp 2;Humedad 2;TDS;Temperatura NTC;Ph;Nivel (m)
2/4/2026 12:20;22,6;48,1;22,6;53,5;275;-148,87;8,73;0,23
2/4/2026 12:20;22,6;48,2;22,7;53,3;274;-148,87;8,72;0,23
2/4/2026 12:20;22,7;48,3;22,6;53,3;275;-148,87;8,70;0,23
2/4/2026 12:22;22,8;48,5;22,5;53,3;274;-148,87;8,72;0,23
2/4/2026 12:25;22,7;48,6;22,5;53,4;273;-148,87;8,73;0,23
2/4/2026 12:27;22,7;48,7;22,6;53,6;271;-148,87;8,74;0,23
2/4/2026 12:30;22,7;48,8;22,7;53,9;273;-148,87;8,73;0,23
2/4/2026 12:30;22,6;48,9;22,6;53,6;273;-148,87;8,72;0,23
2/4/2026 12:32;22,5;48,8;22,5;53,5;271;-148,87;8,72;0,23
2/4/2026 12:32;22,6;48,9;22,5;53,7;271;-148,87;8,72;0,23
2/4/2026 12:32;22,5;48,8;22,5;53,7;273;-148,87;8,71;0,23
2/4/2026 12:33;22,5;48,9;22,6;53,9;274;-148,87;8,72;0,23
2/4/2026 12:33;22,5;48,9;22,6;53,7;274;-148,87;8,73;0,23
2/4/2026 12:33;22,5;48,8;22,5;53,9;275;-148,87;8,75;0,23
2/4/2026 12:33;22,5;49,0;22,5;54,1;276;-148,87;8,74;0,23
2/4/2026 12:35;22,6;49,1;22,5;54,2;276;-148,87;8,76;0,23
2/4/2026 12:35;22,6;49,2;22,4;54,0;276;-148,87;8,74;0,23
2/4/2026 12:35;22,6;49,3;22,4;54,2;276;-148,87;8,74;0,23
2/4/2026 12:35;22,6;49,4;22,5;54,2;277;-148,87;8,75;0,23
2/4/2026 12:35;22,6;49,4;22,4;54,2;275;-148,87;8,74;0,23
2/4/2026 12:35;22,7;49,4;22,5;54,0;277;-148,87;8,74;0,23
2/4/2026 12:37;22,6;49,2;22,4;54,0;277;-148,87;8,72;0,23
2/4/2026 12:37;22,5;49,3;22,4;54,3;275;-148,87;8,73;0,23
2/4/2026 12:37;22,5;49,2;22,5;54,4;275;-148,87;8,72;0,23
2/4/2026 12:37;22,6;49,0;22,4;54,4;277;-148,87;8,73;0,23
2/4/2026 12:39;22,5;49,1;22,4;54,4;276;-148,87;8,74;0,23
2/4/2026 12:41;22,6;49,1;22,4;54,5;275;-148,87;8,75;0,23
2/4/2026 12:41;22,6;49,2;22,5;54,7;276;-148,87;8,76;0,23
2/4/2026 12:41;22,6;49,1;22,4;54,8;276;-148,87;8,74;0,23
2/4/2026 12:41;22,7;49,1;22,5;54,6;277;-148,87;8,73;0,23
2/4/2026 12:41;22,6;49,0;22,6;54,5;275;-148,87;8,74;0,23
2/4/2026 12:41;22,7;49,0;22,6;54,7;275;-148,87;8,74;0,23
2/4/2026 12:41;22,8;49,0;22,6;54,9;276;-148,87;8,73;0,23
2/4/2026 12:41;22,7;48,9;22,6;54,8;278;-148,87;8,72;0,23
2/4/2026 12:41;22,7;49,1;22,6;54,7;276;-148,87;8,71;0,23
2/4/2026 12:41;22,8;49,0;22,6;54,4;276;-148,87;8,70;0,23
2/4/2026 12:41;22,7;49,1;22,6;54,2;275;-148,87;8,70;0,23
2/4/2026 12:41;22,8;49,1;22,5;54,2;276;-148,87;8,69;0,23
2/4/2026 12:41;22,8;49,0;22,5;54,4;274;-148,87;8,69;0,23
2/4/2026 12:41;22,8;48,9;22,5;54,7;275;-148,87;8,71;0,23
2/4/2026 12:41;22,8;48,9;22,6;54,8;274;-148,87;8,69;0,23
2/4/2026 12:41;22,8;49,0;22,7;54,8;273;-148,87;8,71;0,23
2/4/2026 12:41;22,8;48,8;22,6;54,6;271;-148,87;8,69;0,23
2/4/2026 12:44;22,8;49,0;22,6;54,7;271;-148,87;8,68;0,23
2/4/2026 12:44;22,9;48,9;22,6;54,5;272;-148,87;8,67;0,23
2/4/2026 12:44;23,0;48,9;22,6;54,3;272;-148,87;8,67;0,23
2/4/2026 12:47;23,0;48,7;22,6;54,4;271;-148,87;8,67;0,23
2/4/2026 12:47;23,0;48,6;22,6;54,6;269;-148,87;8,67;0,23
2/4/2026 12:47;23,1;48,5;22,6;54,7;270;-148,87;8,66;0,23
2/4/2026 12:47;23,1;48,4;22,6;54,9;270;-148,87;8,64;0,23
2/4/2026 12:47;23,1;48,5;22,5;54,8;272;-148,87;8,62;0,23
2/4/2026 12:47;23,1;48,4;22,6;54,7;271;-148,87;8,63;0,23
2/4/2026 12:47;23,1;48,2;22,7;54,5;269;-148,87;8,64;0,23
2/4/2026 12:49;23,1;48,2;22,7;54,4;269;-148,87;8,62;0,23
2/4/2026 12:49;23,1;48,2;22,7;54,1;268;-148,87;8,62;0,23
2/4/2026 12:49;23,2;48,2;22,6;53,8;268;-148,87;8,61;0,23
2/4/2026 12:50;23,2;48,3;22,5;54,0;268;-148,87;8,62;0,23
2/4/2026 12:50;23,2;48,4;22,5;54,1;270;-148,87;8,62;0,23
2/4/2026 12:50;23,1;48,3;22,4;54,2;271;-148,87;8,63;0,23
2/4/2026 12:50;23,2;48,3;22,5;53,9;272;-148,87;8,63;0,23
2/4/2026 12:53;23,1;48,3;22,5;53,8;272;-148,87;8,62;0,23
2/4/2026 12:56;23,1;48,3;22,5;54,1;272;-148,87;8,63;0,23
2/4/2026 12:58;23,1;48,4;22,6;54,4;272;-148,87;8,62;0,23
2/4/2026 12:58;23,1;48,3;22,5;54,6;272;-148,87;8,64;0,23
